seqIndex,FC,LW,DP,NK,AE,pcMK,_SolventAccessibilityD1025,tau2_GRAR740104,tau4_GRAR740104,QSO50_GRAR740104,QSO29_GRAR740104,meanEisenbergHydrophobicity,K_KR
121,0,0,0,0,0,0,17.391,11759.2381,6007.578947,0,0.088039,0.416956522,0
122,0,0,0,0,0,0,16.667,6344.590909,6138.9,0,0.068507,-0.61875,0.571433469
123,4.35,0,0,0,0,0,20.833,14149.95455,10426.2,0,0.066874,0.344166667,1
124,0,0,0,0,0,0,12.5,13592.90909,10185.55,0,0.056545,0.227083333,1
125,0,0,0,0,4.35,0,16.667,10680.95455,6213.7,0,0.05744,0.452083333,1
126,0,0,0,0,4.35,0,12.5,10177.63636,7012.05,0,0.061036,0.337083333,1
127,0,0,0,0,4.35,0,12.5,9976,6807.25,0,0.060053,0.35625,1
128,0,0,0,0,4.35,0,20.833,9545.181818,6436.6,0,0.057527,0.445416667,1
129,0,0,0,0,0,0.125,8.333,12342.31818,6390.25,0,0.055738,-0.19375,1
130,0,0,0,0,0,0,12.5,12861.27273,7083.85,0,0.052888,-0.15625,0.5
131,0,0,0,0,0,0,16.667,12232.04545,7541.4,0,0.067426,0.12125,1
132,0,0,0,0,0,0,20.833,12053.5,7585.05,0,0.067904,0.08,1
133,0,4.35,0,4.35,0,0.333333333,25,8205.909091,10354.45,0,0.063074,0.096666667,0.7999904
134,0,4.35,0,0,0,0,25,11214.81818,6793.85,0,0.063546,0.1875,1
135,0,0,0,0,0,0.125,16.667,11865.86364,6135.2,0,0.040308,-0.158333333,0.8749925
136,0,0,0,0,0,0,16.667,8646.818182,3054.05,0,0.092194,-0.909166667,0
137,0,0,0,0,0,0.125,25,11507.68182,5766.45,0,0.056854,-0.225833333,1
138,0,0,0,0,4.35,0.666666667,16.667,12757.5,9970.75,0,0.053299,0.2675,0.5
139,0,0,0,0,0,0,20.833,11115.86364,9660.55,0,0.039146,-0.201666667,0.16668
140,0,0,0,0,0,0,12,12594.17391,9117.52381,0,0.073793,0.1024,0.8
141,0,0,0,0,0,0,16,10109.73913,7874.904762,0,0.053651,0.0968,0.4
142,0,0,0,0,0,0,16,10121.17391,7842.190476,0,0.053484,0.0556,0.2
143,0,0,0,0,0,0,12,16490.73913,8262.714286,0,0.048432,-0.2068,0.333333333
144,0,0,0,0,4.17,0,16,10048,5521.666667,0,0.059554,0.3372,1
145,0,0,0,0,4.17,0,16,10942.6087,5803.095238,0,0.059468,0.4092,1
146,0,0,0,0,4.17,0,16,10304.56522,5519,0,0.058635,0.5032,1
147,0,0,0,0,4.17,0,12,10981.82609,5708.904762,0,0.061786,0.4,1
148,0,0,0,0,4.17,0,20,10476.82609,5369.666667,0,0.058987,0.4768,1
149,0,0,0,0,4.17,0,20,10460.04348,4731.904762,0,0.060811,0.5028,0
150,0,0,0,0,4.17,0,20,10620.52174,4572.047619,0,0.065083,0.508,1
151,0,0,0,4.17,0,0.2,12,13997.04348,5300.619048,0,0.061558,0.1936,1
152,0,0,0,0,0,0,12,10698.08696,7768.857143,0,0.039833,0.188,1
153,0,0,0,0,0,0.2,28,9127.173913,7520.52381,0,0.044888,-0.1252,0.571428571
154,0,0,0,0,0,0,12,10010.21739,7032.714286,0,0.044697,0.0988,1
155,0,0,0,0,0,0.25,24,6851.304348,7931.190476,0,0.052858,-0.198,0.428571429
156,0,0,0,0,0,0,12,14272.73913,7370.380952,0,0.047408,-0.192,0.666666667
157,0,0,0,0,0,0,12,11483.95652,8713.761905,0,0.061349,0.1372,1
158,0,0,0,0,0,0,19.231,12601.66667,5170,0,0.058488,0.305769231,0.5
159,0,0,0,0,0,0,11.538,7395.083333,7251.681818,0,0.05905,0.100384615,0.6
160,0,0,0,0,0,0,11.538,10388.75,7175.045455,0,0.066572,-0.144615385,0.777784198
161,0,4,0,4,0,0.2,23.077,12647.66667,7129,0,0.046364,0.172307692,1
162,0,0,0,0,0,0.25,23.077,9261.875,9265.727273,0,0.048012,-0.233076923,0.333323704
163,0,0,0,0,0,0.142857143,38.462,8492.916667,7237.409091,0,0.049248,-0.006923077,1
164,0,0,0,0,0,0,23.077,8074.041667,7738.863636,0,0.050989,-0.123076923,0.5
165,0,0,0,0,0,0.2,19.231,13351.33333,6288.454545,0,0.057946,-0.485769231,0.727279174
166,0,3.85,0,0,0,0.2,22.222,8859.44,5979.347826,0,0.054001,0.328888889,1
167,0,0,0,0,3.85,0,14.815,10992.36,5524.173913,0,0.059045,0.276666667,1
168,0,0,0,0,3.85,0,14.815,10884.28,6392.956522,0,0.05076,0.282962963,1
169,0,0,0,0,3.85,0,18.519,11444.8,4692.086957,0,0.058462,0.276666667,1
170,0,0,0,0,0,0,25.926,12714.96,14667.26087,0,0.04628,-0.087777778,0.888882222
171,0,0,0,0,0,0,22.222,8529.8,6300,0,0.051235,-0.183333333,0.7000027
172,0,0,0,0,0,0.2,14.815,9592.64,7467.826087,0,0.035381,-0.105555556,1
173,0,0,0,0,0,0,22.222,9943.68,9616.782609,0,0.055461,-0.293703704,0.166674166
174,0,0,0,0,0,0.25,29.63,11418.44,8374.608696,0,0.053705,-0.435555556,0.428565918
175,0,0,0,0,0,0,18.519,8101.44,6617.869565,0,0.057276,-0.319259259,0.222212222
176,0,3.7,0,0,0,0.2,10.714,13193.11538,4803.875,0,0.052601,0.105,1
177,0,0,0,0,0,0.125,10.714,11621.42308,8195.041667,0,0.059264,-0.243928571,0.7000056
178,0,0,0,0,0,0,21.429,10625.26923,9119.375,0,0.063818,0.073928571,0.42856
179,0,0,0,0,0,0.166666667,20.69,14632.14815,8867.88,0,0.05196,0.067586207,1
180,0,3.57,0,0,0,0,20.69,9534.259259,4313,0,0.057002,0.133448276,1
181,0,0,0,0,0,0,10.345,12948.74074,6818.2,0,0.068514,-0.303793103,0.6000058
182,0,0,0,0,0,0,24.138,9834.111111,8438.28,0,0.056773,-0.181034483,0.333333333
183,0,0,0,0,0,0,20.69,14257.85185,7094.2,0,0.048642,-0.250344828,0.624990937
184,0,0,0,0,0,0,27.586,7582.925926,8132.4,0,0.05473,-0.006551724,0.428577347
185,0,0,0,0,0,0,20.69,7867.925926,7496.52,0,0.054122,0.224482759,1
186,0,0,0,0,0,0,20.69,7996.777778,7073.8,0,0.048695,0.246206897,1
187,0,3.45,0,0,3.45,0.142857143,30,12082.03571,8336.730769,0,0.045378,0.194333333,1
188,0,3.45,0,0,0,0.2,20,11926.67857,6834.5,0,0.048324,0.155333333,1
189,0,0,0,0,0,0.5,26.667,17625.07143,15084.15385,0,0.047716,0.121,1
190,0,0,0,0,0,0,26.667,11402.42857,8114.769231,0,0.056104,0.064666667,0.400012
191,0,0,0,0,0,0.166666667,13.333,13521.28571,11815,0,0.04996,-0.211,0.555566667
192,0,0,0,0,0,0,20,15936.17857,7596.192308,0,0.052521,0.537333333,0
193,0,0,0,0,0,0,20,9553.464286,7945.153846,0,0.055363,0.004,0.625004687
194,0,0,0,0,0,0.2,20,11500.89286,10199.61538,0,0.05069,-0.031,1
195,0,0,0,3.45,0,0,20,13308.71429,11031.65385,0,0.041105,0.218333333,1
196,0,0,0,0,0,0,20,7962.607143,5565.884615,0,0.053644,-0.257333333,0.75
197,0,0,0,0,0,0,23.333,10442.25,5959.192308,0,0.066602,-0.413,0.600006
198,0,0,0,0,0,0,12.903,10461.06897,9998.555556,0.004197,0.060502,0.119677419,0.7999876
199,0,0,0,0,0,0,25.806,10499.41379,5846.481481,0.003048,0.064434,-0.481290323,0.545457107
200,0,0,0,0,0,0,22.581,10193.34483,9116.111111,0.002652,0.048565,-0.119677419,0.714273061
201,0,0,0,0,0,0,25,15075.73333,8072.428571,0.006272,0.048821,0.16875,1
202,0,0,0,0,0,0,25,15795.8,7513.535714,0.006088,0.045647,0.1459375,1
203,0,0,0,3.23,0,0,12.5,12167.1,10294.46429,0.004722,0.043104,0.02375,1
204,0,0,0,0,0,0.25,31.25,10296.73333,6197.535714,0.000843,0.044727,0.1315625,1
205,0,0,0,0,0,0,18.75,9651.5,8305.607143,0.001635,0.058984,-0.0684375,0.777777778
206,0,0,0,0,0,0,18.75,9257.233333,8457.75,0.001633,0.059095,-0.0159375,0.875
207,0,0,0,0,0,0,12.121,11092.90323,6965.689655,0.008152,0.045027,0.34030303,1
208,0,0,0,0,0,0,12.121,11297.41935,6853.137931,0.006363,0.044825,0.373636364,1
209,0,0,0,0,3.13,0,12.121,15548.03226,8897.172414,0.004549,0.052479,-0.228181818,0.444432222
210,0,3.13,0,0,0,0,24.242,10525.29032,5254.448276,0.005898,0.04745,0.139090909,1
211,0,3.13,0,0,0,0,27.273,10426.6129,5342.448276,0.00579,0.048074,0.153636364,1
212,0,0,0,0,0,0,15.152,13753.64516,8921.448276,0.01046,0.051057,0.182424242,1
213,0,0,0,3.13,0,0.375,9.091,8940.935484,9853.862069,0.005383,0.039082,-0.225454545,0.71427898
214,0,0,0,0,0,1,15.152,13055.58065,9858.206897,0.001946,0.048187,-0.841818182,0
215,0,0,0,0,0,0,24.242,11200.3871,8366.689655,0.003201,0.052799,0.241212121,1
216,0,0,0,0,0,0.333333333,21.212,13625.32258,13360.17241,0.006922,0.043127,0.152424242,1
217,0,3.03,0,0,0,0.4,20.588,8367.9375,6969.266667,0.012404,0.039181,0.267058824,1
218,0,3.03,0,0,0,0.333333333,20.588,9267.4375,6757.166667,0.009967,0.040978,0.188235294,1
219,0,0,0,0,3.03,0,20.588,11196.71875,4954.866667,0.007352,0.06128,-0.21,1
220,0,0,0,0,0,0.4,17.647,16485.25,13030.83333,0.007168,0.045234,0.030294118,0.6000272
221,0,0,0,0,0,0,26.471,10953.75,8348.466667,0.006239,0.048778,0.258235294,1
222,0,0,0,0,0,0,8.824,12266.09375,6974.333333,0.007637,0.065874,-0.179117647,0.888893087
223,0,0,0,0,0,0,17.647,11763.03125,7036.066667,0.005129,0.064345,-0.151764706,0.777786173
