threshold,TP,FP,TN,FN,TPR = sensitivity = hit rate = recall,TNR = specificity,FPR = fallout = 1 - specificity,accuracy,positive predictive value (PPV) = precision,false discovery rate (FDR) = 1 - PPV,negative predictive value (NPV),false omission rate (FOR) = 1 - NPV,Matthews correlation coefficient (MCC)
1.1834432389170308,22.0,0.0,43.0,21.0,0.5116279069767442,1.0,0.0,0.7558139534883721,1.0,0.0,0.671875,0.328125,0.5863019699779287
1.1211567526582398,22.0,0.0,43.0,21.0,0.5116279069767442,1.0,0.0,0.7558139534883721,1.0,0.0,0.671875,0.328125,0.5863019699779287
1.0588702663994485,23.0,0.0,43.0,20.0,0.5348837209302325,1.0,0.0,0.7674418604651163,1.0,0.0,0.6825396825396826,0.31746031746031744,0.6042179781166438
0.9965837801406576,23.0,0.0,43.0,20.0,0.5348837209302325,1.0,0.0,0.7674418604651163,1.0,0.0,0.6825396825396826,0.31746031746031744,0.6042179781166438
0.9342972938818663,24.0,1.0,42.0,19.0,0.5581395348837209,0.9767441860465116,0.023255813953488372,0.7674418604651163,0.96,0.04,0.6885245901639344,0.3114754098360656,0.5889696476913214
0.8720108076230755,25.0,2.0,41.0,18.0,0.5813953488372093,0.9534883720930233,0.046511627906976744,0.7674418604651163,0.9259259259259259,0.07407407407407407,0.6949152542372882,0.3050847457627119,0.5762619548021688
0.8097243213642842,31.0,3.0,40.0,12.0,0.7209302325581395,0.9302325581395349,0.06976744186046512,0.8255813953488372,0.9117647058823529,0.08823529411764706,0.7692307692307693,0.23076923076923078,0.6659120918162917
0.7474378351054933,33.0,3.0,40.0,10.0,0.7674418604651163,0.9302325581395349,0.06976744186046512,0.8488372093023255,0.9166666666666666,0.08333333333333333,0.8,0.2,0.7071067811865476
0.685151348846702,33.0,4.0,39.0,10.0,0.7674418604651163,0.9069767441860465,0.09302325581395349,0.8372093023255814,0.8918918918918919,0.10810810810810811,0.7959183673469388,0.20408163265306123,0.6810815188364803
0.6228648625879112,36.0,4.0,39.0,7.0,0.8372093023255814,0.9069767441860465,0.09302325581395349,0.872093023255814,0.9,0.1,0.8478260869565217,0.15217391304347827,0.7460038465922509
0.5605783763291199,37.0,4.0,39.0,6.0,0.8604651162790697,0.9069767441860465,0.09302325581395349,0.8837209302325582,0.9024390243902439,0.0975609756097561,0.8666666666666667,0.13333333333333333,0.768273325346536
0.4982918900703286,37.0,4.0,39.0,6.0,0.8604651162790697,0.9069767441860465,0.09302325581395349,0.8837209302325582,0.9024390243902439,0.0975609756097561,0.8666666666666667,0.13333333333333333,0.768273325346536
0.43600540381153774,38.0,4.0,39.0,5.0,0.8837209302325582,0.9069767441860465,0.09302325581395349,0.8953488372093024,0.9047619047619048,0.09523809523809523,0.8863636363636364,0.11363636363636363,0.7909115788387002
0.37371891755274644,38.0,4.0,39.0,5.0,0.8837209302325582,0.9069767441860465,0.09302325581395349,0.8953488372093024,0.9047619047619048,0.09523809523809523,0.8863636363636364,0.11363636363636363,0.7909115788387002
